Категория куда сливаем;Категория откуда сливаем
;
Люстры/Люстра потолочная;Люстры /Светильник потолочный
Люстры/Люстра потолочная;Люстры/Люстра потолочная
Люстры/Люстра подвесная;Люстры/Люстра подвесная
Подвесные;Подвесные/Подвесной светильник
Подвесные;Подвесные/Светильник подвесной Zoom
Подвесные;Подвесные/Светильник подвесной
Подвесные;Подвесные/Встраиваемый подвес
Подвесные;Подвесные/Подвес
Настенные/Бра;Настенные/Светильник настенный
Настенные/Бра;Настенные/Бра
Настенные/Подсветка для картин;Настенные/Подсветка для картин
Настенные/Подсветка для картин и зеркал;Настенные/Подсветка для картин и зеркал
Потолочные/Потолочный светильник;Потолочные/Потолочный светильник
Потолочные/Светильник потолочный поворотный;Потолочные/Светильник потолочный поворотный
Торшер;Торшер
Настольные;Настольные/Прикроватная лампа
Настольные; Настольные/Настольная лампа
Споты, трековые, точечные, встраиваемые/Спот;Споты, трековые, точечные, встраиваемые/Спот
Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник ZOOM;Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник подвесной ZOOM
Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник ZOOM;Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник ZOOM
Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник подвесной;Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник подвесной
Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник;Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Светильник трековый
Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник;Споты, трековые, точечные, встраиваемые/Трековые/Магнитные/Магнитный трековый светильник
